Training on dataset data/CE_train_E1.h5
cuda:0
models/GNN_CE_E1_xresolution100-200_n100_tw25_unrolling2_time11122040.pt
Number of parameters: 1031645
Step 100, mean loss 0.1353270796166558
Step 125, mean loss 0.19567453234784032
Step 150, mean loss 0.1523665124004042
Step 175, mean loss 0.16796294871398038
Step 200, mean loss 0.2043385061574232
Step 225, mean loss 0.27843449957027966
Unrolled forward losses 3.0772911344725546
Unrolled forward base losses 3.162220099443931
Saved model at models/GNN_CE_E1_xresolution100-200_n100_tw25_unrolling2_time11122040.pt
Training time:  10:33:44.253971 

Epoch 7
Starting epoch 7...
Training Loss (progress: 0.00): 0.16277163580234583
Training Loss (progress: 0.10): 0.16354882030943627
Training Loss (progress: 0.20): 0.16913590513063942
Training Loss (progress: 0.30): 0.1565804179611606
Training Loss (progress: 0.40): 0.16367258003163745
Training Loss (progress: 0.50): 0.16608200864895042
Training Loss (progress: 0.60): 0.16678081513238846
Training Loss (progress: 0.70): 0.16378175064441775
Training Loss (progress: 0.80): 0.15003949237377678
Training Loss (progress: 0.90): 0.15371825211370535
Evaluation on validation dataset:
Step 25, mean loss 0.08797981757570732
Step 50, mean loss 0.09139846422972123
Step 75, mean loss 0.08617986806749667
Step 100, mean loss 0.08904609063823876
Step 125, mean loss 0.11182891358757457
Step 150, mean loss 0.14090048131625976
Step 175, mean loss 0.1608029773298159
Step 200, mean loss 0.2845644892409118
Step 225, mean loss 0.19316707963663443
Unrolled forward losses 2.29664912332561
Unrolled forward base losses 2.927822615141285
Evaluation on test dataset:
Step 25, mean loss 0.09366181437907574
Step 50, mean loss 0.08275691861208566
Step 75, mean loss 0.09308366164948453
Step 100, mean loss 0.12727443733092564
Step 125, mean loss 0.19206071400607494
Step 150, mean loss 0.1495300380921218
Step 175, mean loss 0.15679455557642336
Step 200, mean loss 0.19660018354653708
Step 225, mean loss 0.26876377314233085
Unrolled forward losses 2.8902971265377673
Unrolled forward base losses 3.162220099443931
Saved model at models/GNN_CE_E1_xresolution100-200_n100_tw25_unrolling2_time11122040.pt
Training time:  12:08:09.564645 

Epoch 8
Starting epoch 8...
Training Loss (progress: 0.00): 0.15430995645793835
Training Loss (progress: 0.10): 0.16639284142030977
Training Loss (progress: 0.20): 0.1668187586176563
Training Loss (progress: 0.30): 0.16701649482387024
Training Loss (progress: 0.40): 0.16596748022673943
Training Loss (progress: 0.50): 0.15952355850037442
Training Loss (progress: 0.60): 0.16591757085024678
Training Loss (progress: 0.70): 0.16051888683952084
Training Loss (progress: 0.80): 0.1585649322804465
Training Loss (progress: 0.90): 0.15470129525401358
Evaluation on validation dataset:
Step 25, mean loss 0.08344633151443251
Step 50, mean loss 0.08035353791575811
Step 75, mean loss 0.08768961438529219
Step 100, mean loss 0.08884239994888349
Step 125, mean loss 0.10981709575358979
Step 150, mean loss 0.14227479577163002
Step 175, mean loss 0.16753339302803708
Step 200, mean loss 0.29053567511188677
Step 225, mean loss 0.19032158645483135
Unrolled forward losses 2.262962506131508
Unrolled forward base losses 2.927822615141285
Evaluation on test dataset:
Step 25, mean loss 0.09067774042632382
Step 50, mean loss 0.08001301324391286
Step 75, mean loss 0.09014203971069866
Step 100, mean loss 0.13292735163900815
Step 125, mean loss 0.18206472408602353
Step 150, mean loss 0.13986634357166638
Step 175, mean loss 0.14890084812659155
Step 200, mean loss 0.19833305984545113
Step 225, mean loss 0.2705331685548933
Unrolled forward losses 2.983665860181338
Unrolled forward base losses 3.162220099443931
Saved model at models/GNN_CE_E1_xresolution100-200_n100_tw25_unrolling2_time11122040.pt
Training time:  13:43:18.415173 

Epoch 9
Starting epoch 9...
Training Loss (progress: 0.00): 0.15641416619634244
Training Loss (progress: 0.10): 0.1588262293660687
Training Loss (progress: 0.20): 0.17157206407415312
Training Loss (progress: 0.30): 0.16189666061093827
Training Loss (progress: 0.40): 0.16263638663292113
Training Loss (progress: 0.50): 0.16258671867463864
Training Loss (progress: 0.60): 0.15503303596288487
Training Loss (progress: 0.70): 0.15507959677554234
Training Loss (progress: 0.80): 0.15840863077070302
Training Loss (progress: 0.90): 0.15176754073686308
Evaluation on validation dataset:
Step 25, mean loss 0.07719606677960215
Step 50, mean loss 0.09063577656347795
Step 75, mean loss 0.08102896279636068
Step 100, mean loss 0.08748821800815126
Step 125, mean loss 0.11035631118677527
Step 150, mean loss 0.14698894271834806
Step 175, mean loss 0.17032490717661947
Step 200, mean loss 0.28733318707400607
Step 225, mean loss 0.18284411667707584
Unrolled forward losses 2.543009087404668
Unrolled forward base losses 2.927822615141285
Epoch 10
Starting epoch 10...
Training Loss (progress: 0.00): 0.14962829576486195
Training Loss (progress: 0.10): 0.16479632168932257
Training Loss (progress: 0.20): 0.14304224134143675
Training Loss (progress: 0.30): 0.14610375335284848
Training Loss (progress: 0.40): 0.13638832127183584
Training Loss (progress: 0.50): 0.14036972418452465
Training Loss (progress: 0.60): 0.14458844083984573
Training Loss (progress: 0.70): 0.1479187177033732
Training Loss (progress: 0.80): 0.14766905118990156
Training Loss (progress: 0.90): 0.1448273406446291
Evaluation on validation dataset:
Step 25, mean loss 0.07288576950826306
Step 50, mean loss 0.07846042961747278
Step 75, mean loss 0.07646116820215923
Step 100, mean loss 0.08403139668376264
Step 125, mean loss 0.10299631257090541
Step 150, mean loss 0.1320927085277807
Step 175, mean loss 0.15602645719862462
Step 200, mean loss 0.26992807737375163
Step 225, mean loss 0.17931163924246002
Unrolled forward losses 2.127620562554048
Unrolled forward base losses 2.927822615141285
Evaluation on test dataset:
Step 25, mean loss 0.08012133144375709
Step 50, mean loss 0.07003534150512605
Step 75, mean loss 0.0822132290742055
Step 100, mean loss 0.12164546128054782
Step 125, mean loss 0.16143786171451996
Step 150, mean loss 0.12700955162865193
Step 175, mean loss 0.14004154597628563
Step 200, mean loss 0.17418132138314363
Step 225, mean loss 0.24835372083655086
Unrolled forward losses 2.7333136594715493
Unrolled forward base losses 3.162220099443931
Saved model at models/GNN_CE_E1_xresolution100-200_n100_tw25_unrolling2_time11122040.pt
Training time:  16:54:06.815160 

Epoch 11
Starting epoch 11...
Training Loss (progress: 0.00): 0.13620271479968357
Training Loss (progress: 0.10): 0.13634711063445792
Training Loss (progress: 0.20): 0.15000865001949365
Training Loss (progress: 0.30): 0.15443647079770859
Training Loss (progress: 0.40): 0.14663534539506112
Training Loss (progress: 0.50): 0.14164898219310057
Training Loss (progress: 0.60): 0.15009457311504457
Training Loss (progress: 0.70): 0.14451696217908552
Training Loss (progress: 0.80): 0.13758452413471198
Training Loss (progress: 0.90): 0.14727585011057484
Evaluation on validation dataset:
Step 25, mean loss 0.0696842360563105
Step 50, mean loss 0.07014361477245047
Step 75, mean loss 0.07988419595110756
Step 100, mean loss 0.08656080715168962
Step 125, mean loss 0.10805271258344465
Step 150, mean loss 0.13665052306650763
Step 175, mean loss 0.16257510547833637
Step 200, mean loss 0.28385286976545787
Step 225, mean loss 0.19016972621857048
Unrolled forward losses 2.2454746446432337
Unrolled forward base losses 2.927822615141285
Epoch 12
Starting epoch 12...
Training Loss (progress: 0.00): 0.14465441047919816
Training Loss (progress: 0.10): 0.14280280203330492
Training Loss (progress: 0.20): 0.14232175690686644
Training Loss (progress: 0.30): 0.1350635757737843
Training Loss (progress: 0.40): 0.14631830567381476
Training Loss (progress: 0.50): 0.1341889263031327
Training Loss (progress: 0.60): 0.14304296639176095
Training Loss (progress: 0.70): 0.15210848851959147
Training Loss (progress: 0.80): 0.14017490995686802
Training Loss (progress: 0.90): 0.13814346812146955
Evaluation on validation dataset:
Step 25, mean loss 0.0698761873620766
Step 50, mean loss 0.07889048197302295
Step 75, mean loss 0.07391980117883547
Step 100, mean loss 0.08173013110919974
Step 125, mean loss 0.10282703717749535
Step 150, mean loss 0.13286415857650138
Step 175, mean loss 0.15764280170628225
Step 200, mean loss 0.2714386580060017
Step 225, mean loss 0.17610932751746394
Unrolled forward losses 2.1436000868948453
Unrolled forward base losses 2.927822615141285
Epoch 13
Starting epoch 13...
Training Loss (progress: 0.00): 0.1452583824777653
Training Loss (progress: 0.10): 0.13149316243946613
Training Loss (progress: 0.20): 0.12700535083848405
Training Loss (progress: 0.30): 0.1366549314154688
Training Loss (progress: 0.40): 0.1263966296895154
Training Loss (progress: 0.50): 0.1428073187251383
Training Loss (progress: 0.60): 0.13319624912700231
Training Loss (progress: 0.70): 0.15065699519104764
Training Loss (progress: 0.80): 0.1321667100671495
Training Loss (progress: 0.90): 0.14809188304850687
Evaluation on validation dataset:
Step 25, mean loss 0.0662731412230288
Step 50, mean loss 0.07423852917689955
Step 75, mean loss 0.07106708306066967
Step 100, mean loss 0.08199504611170429
Step 125, mean loss 0.10216527270386466
Step 150, mean loss 0.1370581444525841
Step 175, mean loss 0.15174770294581524
Step 200, mean loss 0.27106681594577053
Step 225, mean loss 0.17296739419054127
Unrolled forward losses 2.2009269989354916
Unrolled forward base losses 2.927822615141285
Epoch 14
Starting epoch 14...
Training Loss (progress: 0.00): 0.1389257296978591
Training Loss (progress: 0.10): 0.1384367782702922
Training Loss (progress: 0.20): 0.13258742115745425
Training Loss (progress: 0.30): 0.14231655694059686
Training Loss (progress: 0.40): 0.14380501441974725
Training Loss (progress: 0.50): 0.14068174382257953
Training Loss (progress: 0.60): 0.13382910469907155
Training Loss (progress: 0.70): 0.1298683555992235
Training Loss (progress: 0.80): 0.1360015281114633
Training Loss (progress: 0.90): 0.1316416268947594
Evaluation on validation dataset:
Step 25, mean loss 0.06607878045279411
Step 50, mean loss 0.07873543964400206
Step 75, mean loss 0.0700105998689792
Step 100, mean loss 0.07928044969721211
Step 125, mean loss 0.10070560156364063
Step 150, mean loss 0.13546172943019325
Step 175, mean loss 0.16182952870948372
Step 200, mean loss 0.2752386318907523
Step 225, mean loss 0.1694070556581771
Unrolled forward losses 2.1774799689457085
Unrolled forward base losses 2.927822615141285
Epoch 15
Starting epoch 15...
Training Loss (progress: 0.00): 0.13685573217524888
Training Loss (progress: 0.10): 0.12487803470820034
Training Loss (progress: 0.20): 0.13044020704221204
Training Loss (progress: 0.30): 0.12879306397081092
Training Loss (progress: 0.40): 0.12813585273482866
Training Loss (progress: 0.50): 0.1201357561575079
Training Loss (progress: 0.60): 0.13770930508459137
Training Loss (progress: 0.70): 0.12780033079512662
Training Loss (progress: 0.80): 0.12340348319756175
Training Loss (progress: 0.90): 0.1386063363934615
Evaluation on validation dataset:
Step 25, mean loss 0.06671469318628398
Step 50, mean loss 0.07258932967964582
Step 75, mean loss 0.07120385666326706
Step 100, mean loss 0.08019643429030979
Step 125, mean loss 0.09677206562946504
Step 150, mean loss 0.13097934209057444
Step 175, mean loss 0.15583839691705098
Step 200, mean loss 0.2710080334918804
Step 225, mean loss 0.1742853618338575
Unrolled forward losses 2.0769880018857987
Unrolled forward base losses 2.927822615141285
Evaluation on test dataset:
Step 25, mean loss 0.07445670189747741
Step 50, mean loss 0.06801760884636107
Step 75, mean loss 0.07767558645988386
Step 100, mean loss 0.11862299862721289
Step 125, mean loss 0.15609008919673006
Step 150, mean loss 0.12227503174689733
Step 175, mean loss 0.1334044816097253
Step 200, mean loss 0.16665068104330533
Step 225, mean loss 0.2408771362970879
Unrolled forward losses 2.5081706854541475
Unrolled forward base losses 3.162220099443931
Saved model at models/GNN_CE_E1_xresolution100-200_n100_tw25_unrolling2_time11122040.pt
Training time:  1 day, 0:54:05.747273 

Epoch 16
Starting epoch 16...
Training Loss (progress: 0.00): 0.12242346600909879
Training Loss (progress: 0.10): 0.1269125962160068
Training Loss (progress: 0.20): 0.1255862039864397
Training Loss (progress: 0.30): 0.12675283100361168
Training Loss (progress: 0.40): 0.12969022569971297
Training Loss (progress: 0.50): 0.12409092464757027
Training Loss (progress: 0.60): 0.13142728146612587
Training Loss (progress: 0.70): 0.13038048274266992
Training Loss (progress: 0.80): 0.11918508758523566
Training Loss (progress: 0.90): 0.13676425249483506
Evaluation on validation dataset:
Step 25, mean loss 0.06509133926274789
Step 50, mean loss 0.07093800652992323
Step 75, mean loss 0.0700820001082472
Step 100, mean loss 0.08066810818281442
Step 125, mean loss 0.09737582452555096
Step 150, mean loss 0.13083998861998195
Step 175, mean loss 0.15329407322978045
Step 200, mean loss 0.27196304461173826
Step 225, mean loss 0.17379441751006808
Unrolled forward losses 2.076231696034829
Unrolled forward base losses 2.927822615141285
Evaluation on test dataset:
Step 25, mean loss 0.0720190450731712
Step 50, mean loss 0.06591943103786094
Step 75, mean loss 0.07749409878348726
Step 100, mean loss 0.1206519940839024
Step 125, mean loss 0.1525372745601467
Step 150, mean loss 0.11969753248959172
Step 175, mean loss 0.13051985990863113
Step 200, mean loss 0.16151714649460114
Step 225, mean loss 0.23495149476352192
Unrolled forward losses 2.5200237111824038
Unrolled forward base losses 3.162220099443931
Saved model at models/GNN_CE_E1_xresolution100-200_n100_tw25_unrolling2_time11122040.pt
Training time:  1 day, 4:07:09.218351 

Epoch 17
Starting epoch 17...
Training Loss (progress: 0.00): 0.12280137565600023
Training Loss (progress: 0.10): 0.13059380288190373
Training Loss (progress: 0.20): 0.12844596245915085
Training Loss (progress: 0.30): 0.12272700992910018
Training Loss (progress: 0.40): 0.1286069728856951
Training Loss (progress: 0.50): 0.13147112757929097
Training Loss (progress: 0.60): 0.11964940930506059
Training Loss (progress: 0.70): 0.12561109856074146
Training Loss (progress: 0.80): 0.13543879440284687
Training Loss (progress: 0.90): 0.140578117905737
Evaluation on validation dataset:
Step 25, mean loss 0.06315183643920833
Step 50, mean loss 0.06831960982201077
Step 75, mean loss 0.06710987627389288
Step 100, mean loss 0.0778140440929538
Step 125, mean loss 0.09676474506959129
Step 150, mean loss 0.13297321105093754
Step 175, mean loss 0.15090831912246505
Step 200, mean loss 0.2667398547197302
Step 225, mean loss 0.17164738797628748
Unrolled forward losses 2.106076392075251
Unrolled forward base losses 2.927822615141285
Epoch 18
Starting epoch 18...
Training Loss (progress: 0.00): 0.12922931287195388
Training Loss (progress: 0.10): 0.1389852962700957
Training Loss (progress: 0.20): 0.12995086508553197
Training Loss (progress: 0.30): 0.13069882345520997
Training Loss (progress: 0.40): 0.1258197191902601
Training Loss (progress: 0.50): 0.12007803508042664
Training Loss (progress: 0.60): 0.12702742822022628
Training Loss (progress: 0.70): 0.11878514252797866
Training Loss (progress: 0.80): 0.12635625340755213
Training Loss (progress: 0.90): 0.1277866621093475
Evaluation on validation dataset:
Step 25, mean loss 0.06259626115066605
Step 50, mean loss 0.0708273241384516
Step 75, mean loss 0.06863167324420597
Step 100, mean loss 0.07944326800194847
Step 125, mean loss 0.09522590488956272
Step 150, mean loss 0.13044061919485647
Step 175, mean loss 0.15294841872525464
Step 200, mean loss 0.26766364766835793
Step 225, mean loss 0.17259154082061337
Unrolled forward losses 2.0609850125168094
Unrolled forward base losses 2.927822615141285
Evaluation on test dataset:
Step 25, mean loss 0.0700006561422131
Step 50, mean loss 0.0649692314062254
Step 75, mean loss 0.0775448005989067
Step 100, mean loss 0.12026416265277946
Step 125, mean loss 0.14883577744080634
Step 150, mean loss 0.11912204605420063
Step 175, mean loss 0.12832141345275866
Step 200, mean loss 0.1611914505510334
Step 225, mean loss 0.23881409105248816
Unrolled forward losses 2.502213326543894
Unrolled forward base losses 3.162220099443931
Saved model at models/GNN_CE_E1_xresolution100-200_n100_tw25_unrolling2_time11122040.pt
Training time:  1 day, 7:20:52.824241 

Epoch 19
Starting epoch 19...
Training Loss (progress: 0.00): 0.13852689363790957
Training Loss (progress: 0.10): 0.12768328378592733
Training Loss (progress: 0.20): 0.1342046825667984
Training Loss (progress: 0.30): 0.12265325119812764
Training Loss (progress: 0.40): 0.13257970649002007
Training Loss (progress: 0.50): 0.12363181529577615
Training Loss (progress: 0.60): 0.12615997949518767
Training Loss (progress: 0.70): 0.11710634332501238
Training Loss (progress: 0.80): 0.1300380008767786
Training Loss (progress: 0.90): 0.12202320686601092
Evaluation on validation dataset:
Step 25, mean loss 0.06361545296164736
Step 50, mean loss 0.0684981983585993
Step 75, mean loss 0.06665541972920551
Step 100, mean loss 0.0776948948484523
Step 125, mean loss 0.09675647928938369
Step 150, mean loss 0.1267386174686876
Step 175, mean loss 0.1503457963520426
Step 200, mean loss 0.2639263067609194
Step 225, mean loss 0.16963822532525236
Unrolled forward losses 2.0869109529551912
Unrolled forward base losses 2.927822615141285
Epoch 20
Starting epoch 20...
Training Loss (progress: 0.00): 0.12896901446691356
Training Loss (progress: 0.10): 0.11858821411723847
Training Loss (progress: 0.20): 0.13038123745163824
Training Loss (progress: 0.30): 0.12792982041525627
Training Loss (progress: 0.40): 0.12027952407306297
Training Loss (progress: 0.50): 0.12464616363568413
Training Loss (progress: 0.60): 0.1231702118135816
Training Loss (progress: 0.70): 0.1281766376765273
Training Loss (progress: 0.80): 0.12020136485478913
Training Loss (progress: 0.90): 0.13064799718071163
Evaluation on validation dataset:
Step 25, mean loss 0.0614016438149343
Step 50, mean loss 0.06996073108778524
Step 75, mean loss 0.0683190322940382
Step 100, mean loss 0.07909636865607288
Step 125, mean loss 0.09464135100272911
Step 150, mean loss 0.13162848380026823
Step 175, mean loss 0.15084193026142073
Step 200, mean loss 0.2617856200630244
Step 225, mean loss 0.17173063133185906
Unrolled forward losses 2.0894149726816496
Unrolled forward base losses 2.927822615141285
Epoch 21
Starting epoch 21...
Training Loss (progress: 0.00): 0.12556171701584454
Training Loss (progress: 0.10): 0.11978324935351264
Training Loss (progress: 0.20): 0.12279090454286322
